name,team,year,position_w
George Perles,Pittsburgh Steelers,1977,Defensive Line
Louis Riecke,Pittsburgh Steelers,1977,Strength
Paul Uram,Pittsburgh Steelers,1977,Flexibility
Ralph Berlin,Pittsburgh Steelers,1977,Trainer
Robert Milie,Pittsburgh Steelers,1977,Assistant Trainer
Doug Gerhart,San Francisco 49ers,1977,Offensive Backfield
Howard Mudd,San Francisco 49ers,1977,Offensive Line
Floyd Peters,San Francisco 49ers,1977,Defensive Line
Ed Beard,San Francisco 49ers,1977,Linebackers
Ed Alsman,San Francisco 49ers,1977,Special Teams
Jerry Rhome,Seattle Seahawks,1977,Quarterbacks/Receivers
Andy MacDonald,Seattle Seahawks,1977,Offensive Backs
Earl Leggett,Seattle Seahawks,1977,Defensive Line
Larry Peccatiello,Seattle Seahawks,1977,Linebackers
Bruce Scott,Seattle Seahawks,1977,Head Trainer
Jim Whitesel,Seattle Seahawks,1977,Assistant Trainer
Don Coryell,St. Louis Cardinals (NFL),1977,Head
Harry Gilmer,St. Louis Cardinals (NFL),1977,Quarterbacks/Receivers
Joe Gibbs,St. Louis Cardinals (NFL),1977,Offensive Backs
Jim Hanifan,St. Louis Cardinals (NFL),1977,Offensive Line
Dan Brooks,St. Louis Cardinals (NFL),1977,Special Assignments
Willie Zapalac,St. Louis Cardinals (NFL),1977,Defensive Line
Chuck Weber,St. Louis Cardinals (NFL),1977,Defensive Backs
Ted Plumb,Atlanta Falcons,1978,Receivers
Bill Walsh,Atlanta Falcons,1978,Offensive Line
Jim Champion,Atlanta Falcons,1978,Defensive Line
Doug Shively,Atlanta Falcons,1978,Linebackers
Dick Bielski,Baltimore Colts,1978,Receivers
Whitey Dovell,Baltimore Colts,1978,Offensive Line
Ralph Hawkins,Baltimore Colts,1978,Defensive Backfield
George Boutselis,Baltimore Colts,1978,Special Teams
Elijah Pitts,Buffalo Bills,1978,Running Backs
Jack Donaldson,Buffalo Bills,1978,Wide Receivers
Willie Zapalac,Buffalo Bills,1978,Defensive Line
Jim Wagstaff,Buffalo Bills,1978,Defensive Backs
Steve Moore &amp; Elijah Pitts,Buffalo Bills,1978,Special Teams
Boyd Dowler,Cincinnati Bengals,1978,Receivers
Chuck Studley,Cincinnati Bengals,1978,Defensive Line
Kim Wood,Cincinnati Bengals,1978,Strength
Rod Humenuik,Cleveland Browns,1978,Offensive Line
Buck Buchanan,Cleveland Browns,1978,Defensive Line
Chuck Weber,Cleveland Browns,1978,Defensive Backfield
John Petercuskie,Cleveland Browns,1978,Special Teams
Babe Parilli,Denver Broncos,1978,Quarterbacks
Paul Roach,Denver Broncos,1978,Offensive Backs
Fran Polsfoot,Denver Broncos,1978,Wide Receivers
Ken Gray,Denver Broncos,1978,Offensive Line
Stan Jones,Denver Broncos,1978,Defensive Line
Marv Braden,Denver Broncos,1978,Special Teams
Bob Schnelker,Detroit Lions,1978,Quarterbacks And Receivers
Fred Hoaglin,Detroit Lions,1978,Offensive Line
Floyd Reese,Detroit Lions,1978,Defensive Line
Billy Atkins,Detroit Lions,1978,Defensive Backfield
Don Doll,Detroit Lions,1978,Special Teams
Howard Schnellenberger,Miami Dolphins,1978,Offense/Receivers/Passing Game
Carl Taseff,Miami Dolphins,1978,Offensive Backs/Special Teams
John Sandusky,Miami Dolphins,1978,Offensive Line/Running Game
Bill Arnsparger,Miami Dolphins,1978,Assistant Head/Defense
Mike Scarry,Miami Dolphins,1978,Defensive Line/Run Defense
Tom Keane,Miami Dolphins,1978,Defensive Backs/Punting
John Polonchek,New England Patriots,1978,Quarterbacks/Special Assistant Head
Jim Ringo,New England Patriots,1978,Offensive Line
Ernie Adams,New England Patriots,1978,Offensive Assistant
Charlie Sumner,New England Patriots,1978,Linebackers/Secondary
Tom Yewcic,New England Patriots,1978,Special Teams/Offensive Backfield
Lamar McHan,New Orleans Saints,1978,Quarterbacks/Receivers
Tom Pratt,New Orleans Saints,1978,Defensive Line
Ed Beard,New Orleans Saints,1978,Linebackers
Chet Franklin,New Orleans Saints,1978,Defensive Backs
Whitey Campbell,New Orleans Saints,1978,Special Teams
Bob Hill,New Orleans Saints,1978,Conditioning
Rollie Dotsch,Pittsburgh Steelers,1978,Offensive Line
Dick Hoak,Pittsburgh Steelers,1978,Offensive Backfield
Dick Walker,Pittsburgh Steelers,1978,Defensive Assistant
Louis Riecke,Pittsburgh Steelers,1978,Strength
Paul Uram,Pittsburgh Steelers,1978,Flexibility
Ralph Berlin,Pittsburgh Steelers,1978,Trainer
Robert Milie,Pittsburgh Steelers,1978,Assistant Trainer
Earl Leggett,San Francisco 49ers,1978,Defensive Line
Jimmy Carr,San Francisco 49ers,1978,Defensive Backfield
Floyd Reese,San Francisco 49ers,1978,Strength And Conditioning
Jerry Rhome,Seattle Seahawks,1978,Offensive/Quarterbacks/Receivers
Andy MacDonald,Seattle Seahawks,1978,Offensive Backs
Howard Mudd,Seattle Seahawks,1978,Offensive Line
Larry Peccatiello,Seattle Seahawks,1978,Defensive/Linebackers
Jim E Mora,Seattle Seahawks,1978,Defensive Line
Bruce Scott,Seattle Seahawks,1978,Head Trainer
Jim Whitesel,Seattle Seahawks,1978,Assistant Trainer
Bud Wilkinson,St. Louis Cardinals (NFL),1978,Head
Harry Gilmer,St. Louis Cardinals (NFL),1978,Quarterbacks/Receivers
Pete Elliott,St. Louis Cardinals (NFL),1978,Offensive Backfield
Jim Hanifan,St. Louis Cardinals (NFL),1978,Offensive Line
Buddy Parker,St. Louis Cardinals (NFL),1978,Special Assistant
Rudy Feldman,St. Louis Cardinals (NFL),1978,Defensive Line
Fred Glick,St. Louis Cardinals (NFL),1978,Defensive Secondary
Jerry Thompson,St. Louis Cardinals (NFL),1978,Special Teams
Ted Plumb,Atlanta Falcons,1979,Receivers
Bill Walsh,Atlanta Falcons,1979,Offensive Line
Jim Champion,Atlanta Falcons,1979,Defensive Line
Doug Shively,Atlanta Falcons,1979,Linebackers
Dick Bielski,Baltimore Colts,1979,Receivers
Ernie Zwahlen,Baltimore Colts,1979,Offensive Line
John Symank,Baltimore Colts,1979,Defensive Backfield
George Boutselis,Baltimore Colts,1979,Special Teams
Jack Donaldson,Buffalo Bills,1979,Wide Receivers
Willie Zapalac,Buffalo Bills,1979,Defensive Line
Jim Wagstaff,Buffalo Bills,1979,Defensive Backs
Steve Moore,Buffalo Bills,1979,Special Teams
Boyd Dowler,Cincinnati Bengals,1979,Receivers
Dick Modzelewski,Cincinnati Bengals,1979,Defensive Line
Kim Wood,Cincinnati Bengals,1979,Strength
Babe Parilli,Denver Broncos,1979,Quarterbacks
Paul Roach,Denver Broncos,1979,Offensive Backs
Fran Polsfoot,Denver Broncos,1979,Wide Receivers
Whitey Dovell,Denver Broncos,1979,Offensive Line
Stan Jones,Denver Broncos,1979,Defensive Line
Marv Braden,Denver Broncos,1979,Special Teams
Andy Bourgeois,Houston Oilers,1979,Offensive Backs
King Hill,Houston Oilers,1979,Receivers
Bob Gambold,Houston Oilers,1979,Defensive Secondary
John Paul Young,Houston Oilers,1979,Special Teams
Carl Taseff,Miami Dolphins,1979,Offensive Backs
John Sandusky,Miami Dolphins,1979,Offensive Line/Running Game
Bill Arnsparger,Miami Dolphins,1979,Assistant Head/Defense
Mike Scarry,Miami Dolphins,1979,Defensive Line/Run Defense
Tom Keane,Miami Dolphins,1979,Defensive Backs/Punting
Steve Crosby,Miami Dolphins,1979,Special Teams
John Polonchek,New England Patriots,1979,Quarterbacks/Special Assistant Head Coach
Tom Yewcic,New England Patriots,1979,Offensive Backfield
Jim Ringo,New England Patriots,1979,Offensive Line
Billy Kinard,New England Patriots,1979,Defensive Backfield
Gino Cappelletti,New England Patriots,1979,Special Teams
Lamar McHan,New Orleans Saints,1979,Quarterbacks/Receivers
Tom Pratt,New Orleans Saints,1979,Defensive Line
Ed Beard,New Orleans Saints,1979,Linebackers
Chet Franklin,New Orleans Saints,1979,Defensive Backs
Whitey Campbell,New Orleans Saints,1979,Special Teams
Bob Hill,New Orleans Saints,1979,Conditioning
Bob Lord,New York Giants,1979,Offensive Backfield
Pat Hodgson,New York Giants,1979,Receivers
Ernie Adams,New York Giants,1979,Offensive Assistant
Jim Stanley,New York Giants,1979,Defensive Line
Deek Pollard,New York Giants,1979,Defensive Backfield
George Perles,Pittsburgh Steelers,1979,Assistant Head
Rollie Dotsch,Pittsburgh Steelers,1979,Offensive Line
Dick Hoak,Pittsburgh Steelers,1979,Offensive Backfield
Dick Walker,Pittsburgh Steelers,1979,Defensive Backfield
Louis Riecke,Pittsburgh Steelers,1979,Strength
Paul Uram,Pittsburgh Steelers,1979,Flexibility
Ralph Berlin,Pittsburgh Steelers,1979,Trainer
Robert Milie,Pittsburgh Steelers,1979,Assistant Trainer
Billie Matthews,San Francisco 49ers,1979,Running Backs
Bobb McKittrick,San Francisco 49ers,1979,Offensive Line
Norb Hecker,San Francisco 49ers,1979,Defensive Backs
Al Vermeil,San Francisco 49ers,1979,Strength And Conditioning
Jerry Rhome,Seattle Seahawks,1979,Offensive/Quarterbacks/Receivers
Andy MacDonald,Seattle Seahawks,1979,Offensive Backs
Howard Mudd,Seattle Seahawks,1979,Offensive Line
Larry Peccatiello,Seattle Seahawks,1979,Defensive/Linebackers
Jim E Mora,Seattle Seahawks,1979,Defensive Line
Bruce Scott,Seattle Seahawks,1979,Head Trainer
Jim Whitesel,Seattle Seahawks,1979,Assistant Trainer
Bud Wilkinson,St. Louis Cardinals (NFL),1979,Head
Harry Gilmer,St. Louis Cardinals (NFL),1979,Quarterbacks/Receivers
Jim Sweeney,St. Louis Cardinals (NFL),1979,Offensive Backfield
Duane Putnam,St. Louis Cardinals (NFL),1979,Offensive Line
Leon McLaughlin,St. Louis Cardinals (NFL),1979,Special Assistant
Rudy Feldman,St. Louis Cardinals (NFL),1979,Defensive Line
Fred Glick,St. Louis Cardinals (NFL),1979,Defensive Secondary
Jerry Thompson,St. Louis Cardinals (NFL),1979,Special Teams
Don Brown,St. Louis Cardinals (NFL),1979,Flexibility And Strength
Bob Bowser,Washington Redskins,1979,Special Assistant To Head
Fred O'Connor,Washington Redskins,1979,Running Backs
John Hilton,Washington Redskins,1979,Tight Ends/Special Teams
Ray Callahan,Washington Redskins,1979,Offensive Line
George Dickson,Washington Redskins,1979,Linebackers
Richie Petitbon,Washington Redskins,1979,Defensive Secondary
Bill Walsh,Atlanta Falcons,1980,Offensive Line
Jim Stanley,Atlanta Falcons,1980,Defensive Line
Doug Shively,Atlanta Falcons,1980,Linebackers
John Idzik,Baltimore Colts,1980,Offensive Backfield
Dick Bielski,Baltimore Colts,1980,Receivers
Ray Wietecha,Baltimore Colts,1980,Offensive Line
John Symank,Baltimore Colts,1980,Defensive Backfield
George Boutselis,Baltimore Colts,1980,Special Teams
Elijah Pitts,Buffalo Bills,1980,Running Backs
Jack Donaldson,Buffalo Bills,1980,Wide Receivers
Willie Zapalac,Buffalo Bills,1980,Defensive Line
Jim Wagstaff,Buffalo Bills,1980,Defensive Backs
Steve Moore &amp; Elijah Pitts,Buffalo Bills,1980,Special Teams
Miller McCalmon,Buffalo Bills,1980,Special Assignments
Jim McNally,Cincinnati Bengals,1980,Offensive Line
Dick Modzelewski,Cincinnati Bengals,1980,Defensive Line
Kim Wood,Cincinnati Bengals,1980,Strength
Paul Roach,Denver Broncos,1980,Offensive Backs
Fran Polsfoot,Denver Broncos,1980,Wide Receivers
Whitey Dovell,Denver Broncos,1980,Offensive Line
Stan Jones,Denver Broncos,1980,Defensive Line
Marv Braden,Denver Broncos,1980,Special Teams
Lew Carpenter,Green Bay Packers,1980,Receivers
Ernie McMillan,Green Bay Packers,1980,Offensive Line
Tom Lovat,Green Bay Packers,1980,Assistant Offensive Line
Dick Rehbein,Green Bay Packers,1980,Special Assistant
Jim Champion,Green Bay Packers,1980,Defensive Line
Fred von Appen,Green Bay Packers,1980,Defensive Line
John Marshall,Green Bay Packers,1980,Linebackers/Special Teams
Ross Fichtner,Green Bay Packers,1980,Defensive Backs
King Hill,Houston Oilers,1980,Quarterbacks/Receivers
Andy Bourgeois,Houston Oilers,1980,Offensive Backs
John Paul Young,Houston Oilers,1980,Linebackers/Special Teams
Bob Gambold,Houston Oilers,1980,Defensive Secondary
Kay Dalton,Kansas City Chiefs,1980,Quarterbacks And Receivers
Joe Spencer,Kansas City Chiefs,1980,Offensive Line
Dick Roach,Kansas City Chiefs,1980,Defensive Backs
Don Lawrence,Kansas City Chiefs,1980,Kicking Teams
Rick Abernethy,Kansas City Chiefs,1980,Strength And Conditioning
Paul Lanham,Los Angeles Rams,1980,Quarterbacks
Hewritt Dixon,Los Angeles Rams,1980,Running Backs
Dan Radakovich,Los Angeles Rams,1980,Offensive Line
LaVern Torgeson,Los Angeles Rams,1980,Defensive Line
Frank Lauterbur,Los Angeles Rams,1980,Linebackers
Herb Paterra,Los Angeles Rams,1980,Special Teams
Clyde Evans,Los Angeles Rams,1980,Conditioning
Carl Taseff,Miami Dolphins,1980,Offensive Backs
John Sandusky,Miami Dolphins,1980,Offensive Line/Running Game
Bill Arnsparger,Miami Dolphins,1980,Assistant Head/Defense
Mike Scarry,Miami Dolphins,1980,Defensive Line/Run Defense
Tom Keane,Miami Dolphins,1980,Defensive Backs/Punting
Steve Crosby,Miami Dolphins,1980,Special Teams
John Polonchek,New England Patriots,1980,Quarterbacks/Special Assistant Head Coach
Tom Yewcic,New England Patriots,1980,Offensive Backfield
Jim Ringo,New England Patriots,1980,Offensive Line
Billy Kinard,New England Patriots,1980,Defensive Backfield
Gino Cappelletti,New England Patriots,1980,Special Teams
Lamar McHan,New Orleans Saints,1980,Quarterbacks/Receivers
Tom Pratt,New Orleans Saints,1980,Defensive Line
Fred Glick,New Orleans Saints,1980,Defensive Backfield
Whitey Campbell,New Orleans Saints,1980,Special Teams
Lou Riecke,New Orleans Saints,1980,Strength
Bob Lord,New York Giants,1980,Offensive Backfield
Pat Hodgson,New York Giants,1980,Receivers
Ernie Adams,New York Giants,1980,Offensive Assistant
Lamar Leachman,New York Giants,1980,Defensive Line
Deek Pollard,New York Giants,1980,Defensive Backfield
Billy Joe,Philadelphia Eagles,1980,Running Backs
Lynn Stiles,Philadelphia Eagles,1980,Tight Ends/Special Teams
Ken Iman,Philadelphia Eagles,1980,Offensive Line
Jerry Wampfler,Philadelphia Eagles,1980,Offensive Line
Chuck Clausen,Philadelphia Eagles,1980,Defensive Line
George Hill,Philadelphia Eagles,1980,Linebackers
George Perles,Pittsburgh Steelers,1980,Assistant Head
Rollie Dotsch,Pittsburgh Steelers,1980,Offensive Line
Dick Hoak,Pittsburgh Steelers,1980,Offensive Backfield
Dick Walker,Pittsburgh Steelers,1980,Defensive Backfield
Ralph Berlin,Pittsburgh Steelers,1980,Trainer
Robert Osborne,Pittsburgh Steelers,1980,Assistant Trainer
Billie Matthews,San Francisco 49ers,1980,Running Backs
Milt Jackson,San Francisco 49ers,1980,Receivers/Special Teams
Bobb McKittrick,San Francisco 49ers,1980,Offensive Line
Norb Hecker,San Francisco 49ers,1980,Linebackers
Al Vermeil,San Francisco 49ers,1980,Strength And Conditioning
Jerry Rhome,Seattle Seahawks,1980,Offensive/Quarterbacks/Receivers
Andy MacDonald,Seattle Seahawks,1980,Offensive Backs
Howard Mudd,Seattle Seahawks,1980,Offensive Line
Larry Peccatiello,Seattle Seahawks,1980,Defensive/Linebackers
Jim E Mora,Seattle Seahawks,1980,Defensive Line
Bruce Scott,Seattle Seahawks,1980,Head Trainer
Jim Whitesel,Seattle Seahawks,1980,Assistant Trainer
Jim Hanifan,St. Louis Cardinals (NFL),1980,Head
Leon McLaughlin,St. Louis Cardinals (NFL),1980,Special Assistant Head
Harry Gilmer,St. Louis Cardinals (NFL),1980,Quarterbacks/Receivers
Dick Jamieson,St. Louis Cardinals (NFL),1980,Offensive Backfield
Tom Lovat,St. Louis Cardinals (NFL),1980,Offensive Line
Duane Putnam,St. Louis Cardinals (NFL),1980,Offensive Line
Rudy Feldman,St. Louis Cardinals (NFL),1980,Defensive Line
Bill Atkins,St. Louis Cardinals (NFL),1980,Defensive Secondary
Chuck Banker,St. Louis Cardinals (NFL),1980,Special Teams
Don Brown,St. Louis Cardinals (NFL),1980,Flexibility And Strength
Bob Bowser,Washington Redskins,1980,Special Assistant To Head
Fred O'Connor,Washington Redskins,1980,Running Backs
John Hilton,Washington Redskins,1980,Tight Ends/Special Teams
Ray Callahan,Washington Redskins,1980,Offensive Line
George Dickson,Washington Redskins,1980,Linebackers
Richie Petitbon,Washington Redskins,1980,Defensive Secondary
Bill Walsh,Atlanta Falcons,1981,Offensive Line
Jim Stanley,Atlanta Falcons,1981,Defensive Line
Doug Shively,Atlanta Falcons,1981,Linebackers
John Idzik,Baltimore Colts,1981,Offensive Backfield
Dick Bielski,Baltimore Colts,1981,Receivers
Ray Wietecha,Baltimore Colts,1981,Offensive Line
John Symank,Baltimore Colts,1981,Defensive Backfield
George Boutselis,Baltimore Colts,1981,Special Teams
Tom Catlin,Buffalo Bills,1981,Assistant Head -
Jack Donaldson,Buffalo Bills,1981,Wide Receivers
Jim Carmody,Buffalo Bills,1981,Defensive Line
Ralph Hawkins,Buffalo Bills,1981,Defensive Backs
Steve Moore,Buffalo Bills,1981,Special Teams
Miller McCalmon,Buffalo Bills,1981,Special Assignments
Lindy Infante,Cincinnati Bengals,1981,Quarterbacks/Receivers
Jim McNally,Cincinnati Bengals,1981,Offensive Line
Dick Modzelewski,Cincinnati Bengals,1981,Defensive Line
Kim Wood,Cincinnati Bengals,1981,Strength
Charlie Lee,Denver Broncos,1981,Running Backs
Fran Polsfoot,Denver Broncos,1981,Tight Ends/Special Teams
Jerry Frei,Denver Broncos,1981,Offensive Line
Stan Jones,Denver Broncos,1981,Defensive Line
Reed Johnson,Denver Broncos,1981,Special Teams
Lew Carpenter,Green Bay Packers,1981,Receivers
Ernie McMillan,Green Bay Packers,1981,Offensive Line
Pete Kettela,Green Bay Packers,1981,Special Assistant
Doc Urich,Green Bay Packers,1981,Defensive Line
John Marshall,Green Bay Packers,1981,Linebackers
Ross Fichtner,Green Bay Packers,1981,Defensive Backs
Dick Rehbein,Green Bay Packers,1981,Special Teams
Elijah Pitts,Houston Oilers,1981,Offensive Backs
Andy Bourgeois,Houston Oilers,1981,Receivers
Ray Callahan,Houston Oilers,1981,Offensive Line
Joe Galat,Houston Oilers,1981,Defensive Line
Dick Selcer,Houston Oilers,1981,Linebackers
Bob Gambold,Houston Oilers,1981,Defensive Backs
Kay Dalton,Kansas City Chiefs,1981,Quarterbacks And Receivers
Don Lawrence,Kansas City Chiefs,1981,Defensive Line
Rick Abernethy,Kansas City Chiefs,1981,Strength And Conditioning
Paul Lanham,Los Angeles Rams,1981,Quarterbacks
Hewritt Dixon,Los Angeles Rams,1981,Running Backs
Dan Radakovich,Los Angeles Rams,1981,Offensive Line
Frank Lauterbur,Los Angeles Rams,1981,Defensive Line
Herb Paterra,Los Angeles Rams,1981,Linebackers
Jim Vechiarella,Los Angeles Rams,1981,Special Teams
Clyde Evans,Los Angeles Rams,1981,Conditioning
Wally English,Miami Dolphins,1981,Quarterbacks/Receivers
Carl Taseff,Miami Dolphins,1981,Offensive Backs
John Sandusky,Miami Dolphins,1981,Offensive Line/Running Game
Bill Arnsparger,Miami Dolphins,1981,Assistant Head/Defense
Mike Scarry,Miami Dolphins,1981,Defensive Line/Run Defense
Tom Keane,Miami Dolphins,1981,Defensive Backs/Punting
Steve Crosby,Miami Dolphins,1981,Special Teams
Babe Parilli,New England Patriots,1981,Quarterbacks
Bobby Grier,New England Patriots,1981,Offensive Backfield
Jim Ringo,New England Patriots,1981,Offensive Line
Rick Lantz,New England Patriots,1981,Linebackers
Dick Roach,New England Patriots,1981,Defensive Backs
Gino Cappelletti,New England Patriots,1981,Special Teams
John Levra,New Orleans Saints,1981,Offensive Backfield
Lamar McHan,New Orleans Saints,1981,Receivers
Joe Spencer,New Orleans Saints,1981,Offensive Line
Willie Zapalac,New Orleans Saints,1981,Defensive Line
John Paul Young,New Orleans Saints,1981,Linebackers
Lance Van Zandt,New Orleans Saints,1981,Defensive Backfield
Harold Richardson,New Orleans Saints,1981,Special Teams
Russell Paternostro,New Orleans Saints,1981,Strength And Conditioning
Bob Lord,New York Giants,1981,Offensive Backfield
Pat Hodgson,New York Giants,1981,Receivers
Ernie Adams,New York Giants,1981,Offensive Assistant
Lamar Leachman,New York Giants,1981,Defensive Line
Fred Glick,New York Giants,1981,Defensive Backfield
Lynn Stiles,Philadelphia Eagles,1981,Tight Ends/Special Teams
Ken Iman,Philadelphia Eagles,1981,Offensive Line
Jerry Wampfler,Philadelphia Eagles,1981,Offensive Line
Chuck Clausen,Philadelphia Eagles,1981,Defensive Line
George Hill,Philadelphia Eagles,1981,Linebackers
George Perles,Pittsburgh Steelers,1981,Assistant Head
Rollie Dotsch,Pittsburgh Steelers,1981,Offensive Line
Dick Hoak,Pittsburgh Steelers,1981,Offensive Backfield
Dick Walker,Pittsburgh Steelers,1981,Defensive Backfield
Ralph Berlin,Pittsburgh Steelers,1981,Trainer
Gary Stragar,Pittsburgh Steelers,1981,Assistant Trainer
Billie Matthews,San Francisco 49ers,1981,Running Backs
Milt Jackson,San Francisco 49ers,1981,Receivers/Special Teams
Bobb McKittrick,San Francisco 49ers,1981,Offensive Line
Cas Banaszek,San Francisco 49ers,1981,Assistant Offensive Line
